[2026-08-14T12:11:31.964Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_1gyjs2j._.js → 200 (26ms, ?B)
[2026-08-14T12:11:31.964Z] GET http://localhost:3000/_next/static/chunks/1sjr_%40supabase_auth-js_dist_module_1np_ckv._.js → 200 (44ms, ?B)
[2026-08-14T12:11:31.964Z] GET http://localhost:3000/_next/static/chunks/node_modules__pnpm_1dp28zq._.js → 200 (44ms, ?B)
[2026-08-14T12:11:31.965Z] GET http://localhost:3000/_next/static/chunks/src_02e8glw._.js → 200 (41ms, ?B)
[2026-08-14T12:11:31.965Z] GET http://localhost:3000/_next/static/chunks/node_modules__pnpm_04zojw8._.js → 200 (45ms, ?B)
[2026-08-14T12:11:31.978Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (1ms, -209B)
[2026-08-14T12:11:31.980Z] GET http://localhost:3000/__nextjs_font/geist-mono-latin.woff2 → 200 (9ms, -209B)
[2026-08-14T12:11:32.051Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (12ms, 1496B)
[2026-08-14T12:12:06.305Z] GET http://localhost:3000/enterprise?params=eyJpZCI6MTIzLCJ3b3JrX3R5cGUiOiJmcm9udF95YXJkIn0 → pending (?ms, ?B)
[2026-08-14T12:12:06.321Z] GET http://localhost:3000/enterprise?params=eyJpZCI6MTIzLCJ3b3JrX3R5cGUiOiJmcm9udF95YXJkIn0 → 200 (124ms, 4443B)
[2026-08-14T12:12:06.450Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.0r6juujl39pe6.woff2 → 200 (?ms, -300B)
[2026-08-14T12:12:06.451Z] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.0wgildi0cnwt9.woff2 → 200 (?ms, -300B)
[2026-08-14T12:12:06.493Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__04kpziu._.css → 304 (37ms, ?B)
[2026-08-14T12:12:06.493Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1y-1ge1._.js → 200 (48ms, ?B)
[2026-08-14T12:12:06.493Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_compiled_next-devtools_index_0rol6yq.js → 200 (66ms, ?B)
[2026-08-14T12:12:06.493Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_compiled_react-dom_0e5l7xx._.js → 200 (59ms, ?B)
[2026-08-14T12:12:06.493Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_compiled_react-server-dom-turbopack_1nzjt2z._.js → 200 (59ms, ?B)
[2026-08-14T12:12:06.493Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_compiled_15bq5dk._.js → 200 (58ms, ?B)
[2026-08-14T12:12:06.493Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_client_07bcdkm._.js → 200 (68ms, ?B)
[2026-08-14T12:12:06.493Z] GET http://localhost:3000/_next/static/chunks/0bol_next_dist_1c01jkj._.js → 200 (67ms, ?B)
[2026-08-14T12:12:06.493Z] GET http://localhost:3000/_next/static/chunks/0vvp_%40swc_helpers_cjs_0vb02wp._.js → 200 (69ms, ?B)
[2026-08-14T12:12:06.493Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (68ms, ?B)
[2026-08-14T12:12:06.493Z] GET http://localhost:3000/_next/static/chunks/turbopack-_1z0ql8a._.js → 200 (72ms, ?B)
[2026-08-14T12:12:06.493Z] GET http://localhost:3000/_next/static/chunks/_0f1kbee._.js → 200 (82ms, ?B)
